iter	Logloss
0	0.6770530162
1	0.6621701284
2	0.6480506833
3	0.6328855594
4	0.6187944471
5	0.6054554973
6	0.5930556149
7	0.5801321692
8	0.5687470296
9	0.5575664777
10	0.5459730236
11	0.5346370221
12	0.5234311642
13	0.5131233454
14	0.5032033736
15	0.4931841283
16	0.4837128622
17	0.4758681696
18	0.4663556247
19	0.4573770567
20	0.4491356092
21	0.4415354129
22	0.4335181653
23	0.4256530714
24	0.4190384449
25	0.4117652696
26	0.4050469058
27	0.3983341891
28	0.3924583833
29	0.386282753
30	0.3808490595
31	0.3749053371
32	0.3694346088
33	0.3642721241
34	0.3589582808
35	0.3541524039
36	0.3496476445
37	0.3448504063
38	0.3402542199
39	0.3359360245
40	0.3320307649
41	0.3282027859
42	0.324076879
43	0.3204406482
44	0.3169511632
45	0.3134103776
46	0.3097645222
47	0.3065390362
48	0.3035096803
49	0.3000603032
50	0.2972363822
51	0.2944564713
52	0.2913431331
53	0.2887693896
54	0.2859294007
55	0.2831637506
56	0.2805948638
57	0.2782724656
58	0.2756031547
59	0.2730321737
60	0.270457307
61	0.2685417574
62	0.2664189777
63	0.264126716
64	0.2617973207
65	0.2594957183
66	0.2577712886
67	0.2557734311
68	0.2536390206
69	0.2517208066
70	0.250288099
71	0.2488073185
72	0.2470393135
73	0.2452441488
74	0.2435428482
75	0.2420685052
76	0.2406264319
77	0.2391018558
78	0.2375306977
79	0.236321176
80	0.2349286458
81	0.2335830012
82	0.2322516844
83	0.2311120732
84	0.2300352366
85	0.2287918881
86	0.2276619096
87	0.2267117847
88	0.2255738222
89	0.2246135477
90	0.2235496284
91	0.2224453663
92	0.2216130512
93	0.2206874608
94	0.2197833313
95	0.218901458
96	0.2181966349
97	0.2174991156
98	0.2166507255
99	0.2157486372
100	0.2149237311
101	0.2141448533
102	0.213292769
103	0.2124869232
104	0.2117437588
105	0.2109366952
106	0.2101805728
107	0.209521771
108	0.2089528482
109	0.208376734
110	0.2078907837
111	0.2071525733
112	0.2065832728
113	0.2060568951
114	0.205411465
115	0.2047770235
116	0.2042236079
117	0.2036806066
118	0.2031081748
119	0.2025358854
120	0.2021253981
121	0.2016264708
122	0.2011710988
123	0.2007093335
124	0.2002964594
125	0.1998585867
126	0.1993779291
127	0.1990363212
128	0.198724425
129	0.1984008986
130	0.197973709
131	0.1975480728
132	0.1972507693
133	0.1968694942
134	0.1965715372
135	0.1961755697
136	0.1958786622
137	0.1954859102
138	0.1951331309
139	0.1948579736
140	0.1945415895
141	0.1942362592
142	0.1939063991
143	0.1935683054
144	0.1932445155
145	0.1929118041
146	0.1926282199
147	0.1923329995
148	0.1920140083
149	0.1917293243
150	0.1914716037
151	0.1912065898
152	0.190986016
153	0.1907505051
154	0.1904910885
155	0.190297952
156	0.190104141
157	0.1898760494
158	0.1896633544
159	0.189476715
160	0.189268323
161	0.1890678848
162	0.1888303765
163	0.1886319176
164	0.1884408135
165	0.1882182792
166	0.1880739944
167	0.1878558058
168	0.1876564945
169	0.187462717
170	0.187333924
171	0.1872038475
172	0.1870494835
173	0.1868591771
174	0.186722656
175	0.1865285672
176	0.1864059069
177	0.1862305457
178	0.1860571716
179	0.1859433367
180	0.1857943667
181	0.1856614262
182	0.1855008177
183	0.1853947624
184	0.1852283563
185	0.1851310479
186	0.1849823762
187	0.1848461122
188	0.1847041082
189	0.1845764381
190	0.1844616321
191	0.1843658795
192	0.1842423022
193	0.184119562
194	0.183999213
195	0.1838896877
196	0.1837888281
197	0.1836942738
198	0.1835920002
199	0.1834907018
200	0.1833790226
201	0.1832971522
202	0.1832251248
203	0.1831470932
204	0.1830408536
205	0.1829715426
206	0.1828721405
207	0.1827706162
208	0.1826847465
209	0.1826003399
210	0.1824911887
211	0.1824044148
212	0.18232366
213	0.1822325273
214	0.1821632552
215	0.1821058138
216	0.1820424915
217	0.1819608348
218	0.1818790823
219	0.1818273885
220	0.1817404755
221	0.1816709785
222	0.1815871786
223	0.1815258763
224	0.1814568634
225	0.1814036884
226	0.1813362352
227	0.1812908257
228	0.1812144343
229	0.1811728249
230	0.1811294559
231	0.1810615539
232	0.180998385
233	0.1809342982
234	0.1808695583
235	0.1808141117
236	0.1807677826
237	0.1807270151
238	0.1806617519
239	0.1806072237
240	0.1805528943
241	0.1804933185
242	0.1804555337
243	0.1804167268
244	0.1803513103
245	0.1802953705
246	0.1802377533
247	0.1801779724
248	0.1801228693
249	0.1800776376
250	0.1800267071
251	0.1799693305
252	0.1799388248
253	0.1798897503
254	0.1798428727
255	0.1797900563
256	0.1797628883
257	0.1797259319
258	0.1796954504
259	0.1796514149
260	0.1795932185
261	0.1795519534
262	0.1795102185
263	0.1794738045
264	0.1794454486
265	0.1794061168
266	0.1793684686
267	0.1793144096
268	0.179278942
269	0.1792423108
270	0.1792004112
271	0.1791578188
272	0.1791176754
273	0.1790748049
274	0.1790327793
275	0.1790015959
276	0.1789730308
277	0.1789291529
278	0.1788964543
279	0.178871284
280	0.1788341144
281	0.1788035215
282	0.1787769734
283	0.1787383041
284	0.1787042705
285	0.1786707306
286	0.1786312932
287	0.1785913291
288	0.1785577122
289	0.1785378074
290	0.1784949649
291	0.1784781487
292	0.1784507051
293	0.1784201903
294	0.1783886256
295	0.1783473769
296	0.1783141024
297	0.178290203
298	0.1782574886
299	0.1782399384
300	0.1782199443
301	0.1781968573
302	0.1781695776
303	0.1781400953
304	0.1781176175
305	0.1780871873
306	0.178064673
307	0.1780389919
308	0.1780140557
309	0.1779827
310	0.1779637585
311	0.1779395955
312	0.1779194865
313	0.1778904374
314	0.1778659942
315	0.1778443273
316	0.1778243588
317	0.1778017486
318	0.177776916
319	0.1777474078
320	0.1777309376
321	0.1777097512
322	0.1776798335
323	0.17765997
324	0.1776439341
325	0.1776253041
326	0.1776067166
327	0.1775825856
328	0.177557122
329	0.1775328464
330	0.1775184015
331	0.1774938461
332	0.1774732819
333	0.1774454289
334	0.1774240521
335	0.1774101748
336	0.1773885575
337	0.1773669045
338	0.1773480911
339	0.1773280071
340	0.1773113102
341	0.177287536
342	0.1772686244
343	0.1772532013
344	0.1772392462
345	0.1772169207
346	0.1772022427
347	0.1771889678
348	0.177170063
349	0.1771486209
350	0.1771281533
351	0.1771141229
352	0.177099585
353	0.1770748032
354	0.1770579969
355	0.1770385513
356	0.1770202771
357	0.1770023296
358	0.1769924131
359	0.1769789846
360	0.176964003
361	0.1769526202
362	0.1769281119
363	0.1769164049
364	0.1769025551
365	0.1768906566
366	0.1768700198
367	0.1768544916
368	0.1768379558
369	0.176821395
370	0.1768085109
371	0.1767872664
372	0.176771778
373	0.1767578727
374	0.1767457353
375	0.1767242662
376	0.1767054846
377	0.1766869508
378	0.1766716658
379	0.1766558367
380	0.1766398326
381	0.1766268665
382	0.1766049665
383	0.176582583
384	0.1765723041
385	0.1765625277
386	0.1765449635
387	0.1765323485
388	0.1765252793
389	0.1765061388
390	0.1764955435
391	0.1764821048
392	0.1764690908
393	0.1764562296
394	0.1764452418
395	0.1764297931
396	0.1764155312
397	0.1764065568
398	0.1763932037
399	0.1763789798
400	0.1763672522
401	0.1763509003
402	0.1763399239
403	0.1763271981
404	0.1763067363
405	0.1762926221
406	0.1762826097
407	0.1762698654
408	0.1762566102
409	0.1762453029
410	0.1762319672
411	0.1762166576
412	0.1762015736
413	0.176189245
414	0.1761792798
415	0.1761667155
416	0.176154277
417	0.1761392032
418	0.1761272588
419	0.1761148292
420	0.1761009206
421	0.1760895375
422	0.1760750244
423	0.1760616756
424	0.1760475475
425	0.1760319039
426	0.1760223412
427	0.1760111545
428	0.1760012419
429	0.1759902346
430	0.1759785081
431	0.1759690892
432	0.1759585851
433	0.1759478376
434	0.1759349164
435	0.1759280902
436	0.1759168723
437	0.1759002394
438	0.175887661
439	0.1758803842
440	0.1758729415
441	0.1758654634
442	0.1758531359
443	0.1758444269
444	0.1758312536
445	0.1758145228
446	0.1757996336
447	0.1757822728
448	0.1757739015
449	0.1757648478
450	0.1757495751
451	0.175741996
452	0.1757271764
453	0.1757128158
454	0.1757015172
455	0.175689158
456	0.1756804116
457	0.1756741887
458	0.1756603998
459	0.1756527612
460	0.1756366977
461	0.1756220818
462	0.175613503
463	0.1755985816
464	0.1755914037
465	0.1755833114
466	0.1755735484
467	0.1755638785
468	0.175556673
469	0.1755478678
470	0.175536998
471	0.1755224737
472	0.17551338
473	0.1755013819
474	0.1754892621
475	0.1754816732
476	0.1754658711
477	0.1754546379
478	0.1754421661
479	0.1754321158
480	0.1754219155
481	0.1754094007
482	0.175401671
483	0.1753899442
484	0.175376786
485	0.1753666063
486	0.1753529949
487	0.1753450222
488	0.1753386097
489	0.1753253319
490	0.1753143119
491	0.175308257
492	0.1752982039
493	0.1752888951
494	0.175279499
495	0.1752684676
496	0.1752590282
497	0.1752422749
498	0.1752333242
499	0.1752220408
500	0.1752082178
501	0.175198199
502	0.1751854398
503	0.1751812775
504	0.1751720918
505	0.1751581714
506	0.1751472062
507	0.1751403012
508	0.1751297582
509	0.1751210539
510	0.1751098871
511	0.175099678
512	0.1750940205
513	0.1750853675
514	0.1750757625
515	0.1750665793
516	0.1750578819
517	0.1750489442
518	0.1750411551
519	0.1750337912
520	0.1750267714
521	0.1750212705
522	0.1750096995
523	0.1749996488
524	0.1749930752
525	0.174983349
526	0.174975723
527	0.1749698783
528	0.1749652927
529	0.1749545855
530	0.1749474332
531	0.1749414539
532	0.1749325931
533	0.1749230165
534	0.1749136989
535	0.1749061691
536	0.1749002828
537	0.1748933095
538	0.1748894776
539	0.1748815596
540	0.1748698001
541	0.17486182
542	0.1748558669
543	0.1748485382
544	0.1748395706
545	0.1748345692
546	0.1748259205
547	0.1748178863
548	0.1748108366
549	0.1747990322
550	0.174792195
551	0.1747863035
552	0.1747802439
553	0.1747687126
554	0.174760776
555	0.1747501974
